method,time,time_over_reference_period,rel_energy_error
whfast,0.0,0.0,2.220446049250313e-16
whfast,0.4749641646894904,0.12499999999999999,0.0008916412367544401
whfast,0.9499283293789812,0.2500000000000001,0.004168201371967193
whfast,1.424892494068472,0.37500000000000017,0.004772332147651588
whfast,1.8998566587579628,0.5000000000000003,0.0013217245751064542
whfast,2.374820823447452,0.625,0.00010191852865972146
whfast,2.849784988136941,0.7499999999999996,0.00019215822306602962
whfast,3.3247491528264295,0.8749999999999991,0.00021382166796669904
whfast,3.799713317515918,0.9999999999999986,1.4506693192126414e-06
whfast,4.274677482205407,1.1249999999999982,0.0008856162931901236
whfast,4.749641646894895,1.2499999999999976,0.0041544734302257575
whfast,5.224605811584384,1.3749999999999971,0.004777623667863398
whfast,5.699569976273873,1.4999999999999967,0.0013300525885646195
whfast,6.174534140963361,1.6249999999999962,0.00010387618747386741
whfast,6.64949830565285,1.7499999999999958,0.0001917141501380756
whfast,7.124462470342339,1.8749999999999953,0.00021408995338380828
whfast,7.599426635031827,1.999999999999995,2.8936666992174587e-06
whfast,8.074390799721316,2.1249999999999942,0.0008796233199969394
whfast,8.549354964410805,2.249999999999994,0.004140660231639554
whfast,9.024319129100293,2.3749999999999933,0.004782731188179799
whfast,9.499283293789782,2.499999999999993,0.0013384228233144866
whfast,9.97424745847927,2.6249999999999925,0.00010584447031677456
whfast,10.44921162316876,2.749999999999992,0.000191265534898755
whfast,10.924175787858248,2.8749999999999916,0.00021435398960113823
whfast,11.399139952547737,2.999999999999991,4.3276530718699916e-06
whfast,11.874104117237225,3.1249999999999907,0.0008736642220161249
whfast,12.349068281926714,3.2499999999999902,0.00412676160661822
whfast,12.824032446616203,3.37499999999999,0.004787653787216319
whfast,13.298996611305691,3.4999999999999893,0.0013468373701288883
whfast,13.77396077599518,3.624999999999989,0.00010782355965911601
whfast,14.248924940684669,3.7499999999999885,0.000190813061986452
whfast,14.723889105374157,3.874999999999988,0.0002146154487759298
whfast,15.198853270063646,3.9999999999999876,5.752968281981782e-06
whfast,15.673817434753134,4.124999999999987,0.0008677388018057497
whfast,16.148781599442625,4.249999999999987,0.004112782502362458
whfast,16.623745764132114,4.374999999999987,0.004792392912588485
whfast,17.098709928821602,4.499999999999986,0.0013552940922981543
whfast,17.57367409351109,4.624999999999986,0.00010981266269198756
