method,time_years,relative_energy_error
whfast,0.0,2.220446049250313e-16
whfast,0.004117347746948149,1.0365066645815931e-08
whfast,0.008234695493896308,3.191063276220271e-08
whfast,0.012352043240844468,4.893599688925502e-08
whfast,0.016469390987792615,4.109881233513889e-08
whfast,0.020586738734740716,2.167369201282749e-08
whfast,0.024704086481688817,2.3402102930424377e-09
whfast,0.02882143422863692,4.737296400047997e-09
whfast,0.032938781975585064,2.573503395649402e-08
whfast,0.03705612972253328,4.292663327916135e-08
whfast,0.0411734774694815,4.6622767397890076e-08
whfast,0.04529082521642972,2.8168322156778514e-08
whfast,0.04940817296337794,8.89198228172763e-09
whfast,0.05352552071032616,2.0997384283230942e-09
whfast,0.05764286845727438,1.6329883207686795e-08
whfast,0.0617602162042226,3.856764535024923e-08
whfast,0.06587756395117081,4.624457961865547e-08
whfast,0.06999491169811903,3.816130916810744e-08
whfast,0.07411225944506725,1.4866552979185475e-08
whfast,0.07822960719201547,1.8761338925424835e-09
whfast,0.08234695493896368,8.6731737330386e-09
whfast,0.0864643026859119,2.985195950877548e-08
whfast,0.09058165043286012,4.7427957646737934e-08
whfast,0.09469899817980834,4.274852313500368e-08
whfast,0.09881634592675656,2.4334265949686968e-08
whfast,0.10293369367370478,2.8411765546088287e-09
whfast,0.107051041420653,3.1772191913836348e-09
whfast,0.11116838916760122,2.3000567038813114e-08
whfast,0.11528573691454944,4.315746270209538e-08
whfast,0.11940308466149765,4.807072593809636e-08
whfast,0.12352043240844587,2.986226370210378e-08
whfast,0.1276377801553941,8.727764812144487e-09
whfast,0.1317551279023423,1.4366561446539768e-10
whfast,0.13587247564929053,1.575094997789558e-08
whfast,0.13998982339623875,3.83054372066484e-08
whfast,0.14410717114318697,4.733275344943611e-08
whfast,0.1482245188901352,3.819128457645697e-08
whfast,0.1523418666370834,1.4834226719507674e-08
whfast,0.15645921438403163,2.31312914299322e-09
whfast,0.16057656213097984,8.494588254488546e-09
whfast,0.16469390987792806,3.009107168239956e-08
whfast,0.16881125762487628,4.600398901814346e-08
whfast,0.1729286053718245,4.258226348803103e-08
whfast,0.17704595311877272,2.5067738410488434e-08
whfast,0.18116330086572094,4.398216513433442e-09
whfast,0.18528064861266916,4.249477535675475e-09
whfast,0.18939799635961738,2.1065225455232758e-08
whfast,0.1935153441065656,4.1755813859580956e-08
whfast,0.19763269185351381,4.738847965836875e-08
whfast,0.20175003960046203,3.209377949481107e-08
whfast,0.20586738734741025,1.1193760322064137e-08
whfast,0.20998473509435847,2.865397873869283e-10
whfast,0.2141020828413067,1.3731467556093486e-08
whfast,0.2182194305882549,3.5760399846822376e-08
whfast,0.22233677833520313,4.827600780013192e-08
whfast,0.22645412608215135,4.020633113076271e-08
whfast,0.23057147382909957,1.64154731311673e-08
whfast,0.23468882157604778,1.671709392910972e-09
whfast,0.238806169322996,6.018094896488147e-09
whfast,0.24292351706994422,2.9730102549210166e-08
whfast,0.24704086481689244,4.6233087089346206e-08
whfast,0.2511582125638404,4.415170889205349e-08
whfast,0.2552755603107877,2.525268926206839e-08
whfast,0.25939290805773496,3.6146346139639384e-09
whfast,0.26351025580468224,4.021574451222971e-09
whfast,0.2676276035516295,2.045634322455826e-08
whfast,0.2717449512985768,4.2377792824236303e-08
whfast,0.27586229904552406,4.6741221119694586e-08
whfast,0.27997964679247134,3.230951323637503e-08
whfast,0.2840969945394186,1.2015658281388099e-08
whfast,0.2882143422863659,5.070039864040089e-10
whfast,0.29233169003331316,1.4238727205892906e-08
whfast,0.29644903778026044,3.373261354835723e-08
whfast,0.3005663855272077,4.7257651789104156e-08
whfast,0.304683733274155,4.017827407812764e-08
whfast,0.30880108102110226,1.8642394415969912e-08
whfast,0.31291842876804954,3.690886857380668e-09
whfast,0.3170357765149968,4.826790325093629e-09
whfast,0.3211531242619441,2.7713792935574538e-08
whfast,0.32527047200889136,4.444347364115031e-08
whfast,0.32938781975583864,4.580770838549065e-08
whfast,0.3335051675027859,2.772914995305499e-08
whfast,0.3376225152497332,4.566480780510288e-09
whfast,0.34173986299668047,2.4184493559749996e-09
whfast,0.34585721074362774,1.7532884330518663e-08
whfast,0.349974558490575,4.223558451068584e-08
whfast,0.3540919062375223,4.7794130420053366e-08
whfast,0.35820925398446957,3.4356926541806806e-08
whfast,0.36232660173141684,1.2065321336071188e-08
whfast,0.3664439494783641,9.272469271023185e-10
whfast,0.3705612972253114,1.3564471238618061e-08
whfast,0.37467864497225867,3.334972504452039e-08
whfast,0.37879599271920594,4.833387438310633e-08
whfast,0.3829133404661532,3.990750639446834e-08
whfast,0.3870306882131005,1.868664922156629e-08
whfast,0.39114803596004777,3.803695836567442e-09
whfast,0.39526538370699504,4.847238310844149e-09
whfast,0.3993827314539423,2.79933235945878e-08
whfast,0.4035000792008896,4.297500804071347e-08
whfast,0.40761742694783687,4.574975827667856e-08
whfast,0.41173477469478414,2.8263819379150217e-08
whfast,0.4158521224417314,6.538469863300221e-09
whfast,0.4199694701886787,3.5214199747299983e-09
whfast,0.42408681793562597,1.5699739054468888e-08
whfast,0.42820416568257325,4.055057866510486e-08
whfast,0.4323215134295205,4.653836502794709e-08
whfast,0.4364388611764678,3.643237479584635e-08
whfast,0.44055620892341507,1.4306416192644814e-08
whfast,0.44467355667036235,7.421687328518109e-10
whfast,0.4487909044173096,1.1708853600016609e-08
whfast,0.4529082521642569,3.081458305132304e-08
whfast,0.4570255999112042,4.913718794135313e-08
whfast,0.46114294765815145,4.161456990757554e-08
whfast,0.4652602954050987,2.060889367994407e-08
whfast,0.469377643152046,3.0379499310206624e-09
whfast,0.4734949908989933,2.4053457756140092e-09
whfast,0.47761233864594055,2.7165215968479344e-08
whfast,0.4817296863928878,4.28824285499454e-08
whfast,0.4858470341398351,4.73610469956022e-08
whfast,0.4899643818867824,2.837571720294615e-08
whfast,0.49408172963372965,6.3323895177297985e-09
whfast,0.4981990773806769,3.361202356033903e-09
whfast,0.5023164251276253,1.5348664701075578e-08
whfast,0.5064337728745745,4.1010459799467566e-08
whfast,0.5105511206215236,4.552064299172004e-08
whfast,0.5146684683684728,3.658867022116724e-08
whfast,0.518785816115422,1.4719983912709296e-08
whfast,0.5229031638623711,2.9528535337426223e-10
whfast,0.5270205116093203,1.2099777015582538e-08
whfast,0.5311378593562694,2.892280322405831e-08
whfast,0.5352552071032186,4.8175419218268424e-08
whfast,0.5393725548501678,4.1387155654664835e-08
whfast,0.5434899025971169,2.3184990719122498e-08
whfast,0.5476072503440661,5.103813057257185e-09
whfast,0.5517245980910153,1.7333080355036359e-09
whfast,0.5558419458379644,2.4897094928508462e-08
whfast,0.5599592935849136,4.059947805498636e-08
whfast,0.5640766413318627,4.864479608627065e-08
whfast,0.5681939890788119,3.0468063301218755e-08
whfast,0.5723113368257611,7.848685885914142e-09
