dt_divisor,dt_years,dt_days,years,n_steps,whfast_max_error,hj_max_error,improvement,whfast_runtime_seconds,hj_runtime_seconds
10,0.00048439385258213527,0.1769248546556249,5.0,10323,4.751331721886845e-07,1.3539733897906118e-10,3509.1765892250105,0.072692125,0.08545854200000003
20,0.00024219692629106764,0.08846242732781245,5.0,20645,5.711408892226063e-08,4.2836431242798666e-11,1333.3064231830053,0.12110845799999997,0.147323875
40,0.00012109846314553382,0.04423121366390623,5.0,41289,6.6843376648394835e-09,3.985258316812037e-11,167.7265846643172,0.218980167,0.27055575
80,6.054923157276691e-05,0.022115606831953113,5.0,82578,2.8618277800439943e-09,6.852307146348704e-11,41.76444106958833,0.41520329199999995,0.521732917
