particle_order,whfast_max_error,fixed_hj_max_error,improvement
B2-B1-A1-A2,0.002955474941086249,2.3877045353824126e-09,1237789.2227829196
B1-B2-A1-A2,0.0029554749412304,2.3877045353824126e-09,1237789.222843292
B1-B2-A2-A1,0.002956069054834842,2.3877045353824126e-09,1238038.0449214168
B2-B1-A2-A1,0.0029560690549712363,2.3877045353824126e-09,1238038.0449785404
A1-A2-B2-B1,0.004856587700907778,2.3877045353824126e-09,2033998.6078428046
A2-A1-B2-B1,0.004856587701573589,2.3877045353824126e-09,2033998.6081216545
A1-A2-B1-B2,0.004856921687687135,2.3877045353824126e-09,2034138.4856100944
A2-A1-B1-B2,0.004856921690141369,2.3877045353824126e-09,2034138.4866379576
B2-A2-B1-A1,0.005723913102075132,2.3877045353824126e-09,2397245.1437164084
A2-B2-B1-A1,0.005723913102418164,2.3877045353824126e-09,2397245.1438600747
B2-A2-A1-B1,0.00572544513186465,2.3877045353824126e-09,2397886.776618141
A2-B2-A1-B1,0.005725445131906883,2.3877045353824126e-09,2397886.776635829
B1-A2-A1-B2,0.00572660448401471,2.3877045353824126e-09,2398372.327544933
A2-B1-A1-B2,0.005726604485449327,2.3877045353824126e-09,2398372.3281457685
A1-B2-B1-A2,0.005727094048458347,2.3877045353824126e-09,2398577.3631497924
B2-A1-B1-A2,0.005727094049094855,2.3877045353824126e-09,2398577.3634163695
A1-B1-B2-A2,0.005728905015005114,2.3877045353824126e-09,2399335.8181930906
B1-A1-B2-A2,0.005728905015711864,2.3877045353824126e-09,2399335.8184890863
B2-A1-A2-B1,0.005728977958721049,2.3877045353824126e-09,2399366.367917671
A1-B2-A2-B1,0.005728977959776001,2.3877045353824126e-09,2399366.3683594977
B1-A1-A2-B2,0.0057298332479746444,2.3877045353824126e-09,2399724.573567039
A1-B1-A2-B2,0.005729833249547162,2.3877045353824126e-09,2399724.5742256283
A2-B1-B2-A1,0.005730567651731962,2.3877045353824126e-09,2400032.1508851005
B1-A2-B2-A1,0.005730567652364589,2.3877045353824126e-09,2400032.151150053
