step,t,dt,relE
6226,5.4353182250026315e+04,8.9933957645255607e+00,3.8167208531419993e-14
6227,5.4362079920362004e+04,8.8976703356889502e+00,3.8167208531419993e-14
6228,5.4370899719227222e+04,8.8197988652144144e+00,3.8398524946761936e-14
6229,5.4379660467022673e+04,8.7607477954524136e+00,3.8398524946761936e-14
6230,5.4388381626167131e+04,8.7211591444552798e+00,3.8282866739090967e-14
6231,5.4397083031886446e+04,8.7014057193170640e+00,3.8282866739090967e-14
6232,5.4405784660217163e+04,8.7016283307195401e+00,3.8282866739090967e-14
6233,5.4414506416364849e+04,8.7217561476843706e+00,3.8282866739090967e-14
6234,5.4423267927383480e+04,8.7615110186296672e+00,3.8398524946761936e-14
6235,5.4432088323475706e+04,8.8203960922234010e+00,3.8514183154432904e-14
6236,5.4440985992058784e+04,8.8976685830813977e+00,3.8051550323749025e-14
6237,5.4449978288327220e+04,8.9922962684339485e+00,3.8282866739090967e-14
6238,5.4459081185805619e+04,9.1028974783958034e+00,3.8282866739090967e-14
6239,5.4468308851086767e+04,9.2276652811512108e+00,3.8514183154432904e-14
6240,5.4477673129761562e+04,9.3642786747947504e+00,3.8398524946761936e-14
6241,5.4487182937162055e+04,9.5098074004909297e+00,3.8282866739090967e-14
6242,5.4496724241193740e+04,9.5413040316821931e+00,3.8514183154432904e-14
6243,5.4506077552155482e+04,9.3533109617390764e+00,3.8282866739090967e-14
6244,5.4515278376542003e+04,9.2008243865231485e+00,3.8167208531419993e-14
6245,5.4524362208523009e+04,9.0838319810098458e+00,3.7935892116078057e-14
6246,5.4533364374803023e+04,9.0021662800152225e+00,3.8398524946761936e-14
6247,5.4542319973427308e+04,8.9555986242868428e+00,3.8167208531419993e-14
6248,5.4551263867801565e+04,8.9438943742596688e+00,3.8167208531419993e-14
6249,5.4560230709324664e+04,8.9668415230994025e+00,3.8514183154432904e-14
6250,5.4569254969000656e+04,9.0242596759915710e+00,3.8051550323749025e-14
6251,5.4572880400000002e+04,3.6254309993455536e+00,3.8282866739090967e-14
