step,t,t_rel,dt,relE,mode,ordering
40,5.4223693873446049e+04,3.8131347344604728e+02,1.0000000000000000e+01,-9.6594044994809776e-07,whfast,earth-asteroid-sun
41,5.4233693873446049e+04,3.9131347344604728e+02,1.0000000000000000e+01,4.3925731653234346e-07,whfast,earth-asteroid-sun
42,5.4243693873446049e+04,4.0131347344604728e+02,1.0000000000000000e+01,4.3925731618536885e-07,ias15,sun-earth-asteroid
43,5.4253906192109935e+04,4.1152579210993281e+02,1.0212318663883408e+01,4.3925731630102707e-07,ias15,sun-earth-asteroid
44,5.4264129305924813e+04,4.2174890592481097e+02,1.0223113814875965e+01,4.3925731653234346e-07,ias15,sun-earth-asteroid
45,5.4274267232408230e+04,4.3188683240822866e+02,1.0137926483420088e+01,4.3925731618536885e-07,ias15,sun-earth-asteroid
46,5.4284282108210362e+04,4.4190170821036008e+02,1.0014875802128687e+01,4.3925731676365990e-07,ias15,sun-earth-asteroid
47,5.4294154585786353e+04,4.5177418578635115e+02,9.8724775759877641e+00,4.3925731664800168e-07,ias15,sun-earth-asteroid
48,5.4303875342213956e+04,4.6149494221395435e+02,9.7207564276056075e+00,4.3925731664800168e-07,ias15,sun-earth-asteroid
49,5.4313442197272750e+04,4.7106179727274866e+02,9.5668550587978576e+00,4.3925731664800168e-07,ias15,sun-earth-asteroid
50,5.4322858538020118e+04,4.8047813802011660e+02,9.4163407473692828e+00,4.3925731630102707e-07,ias15,sun-earth-asteroid
51,5.4332132164116854e+04,4.8975176411685243e+02,9.2736260967369191e+00,4.3925731641668529e-07,ias15,sun-earth-asteroid
52,5.4341274346148559e+04,4.9889394614855701e+02,9.1421820317046265e+00,4.3925731630102707e-07,ias15,sun-earth-asteroid
53,5.4350299042015882e+04,5.0791864201588032e+02,9.0246958673253292e+00,4.3925731653234346e-07,ias15,sun-earth-asteroid
54,5.4359222249774466e+04,5.1684184977446421e+02,8.9232077585816523e+00,4.3925731653234346e-07,ias15,sun-earth-asteroid
55,5.4368061479659744e+04,5.2568107965974195e+02,8.8392298852741167e+00,4.3925731641668529e-07,ias15,sun-earth-asteroid
56,5.4376835326728506e+04,5.3445492672850378e+02,8.7738470687589007e+00,4.3925731606971063e-07,ias15,sun-earth-asteroid
57,5.4385563124504282e+04,5.4318272450428049e+02,8.7277977757741425e+00,4.3925731618536885e-07,ias15,sun-earth-asteroid
58,5.4394264660173620e+04,5.5188426017361780e+02,8.7015356693361223e+00,4.3925731641668529e-07,ias15,sun-earth-asteroid
59,5.4402959932850907e+04,5.6057953285090480e+02,8.6952726772880116e+00,4.3925731653234346e-07,ias15,sun-earth-asteroid
60,5.4411668937628558e+04,5.6928853762855579e+02,8.7090047776491684e+00,4.3925731641668529e-07,ias15,sun-earth-asteroid
61,5.4420411459102805e+04,5.7803105910280283e+02,8.7425214742447821e+00,4.3925731630102707e-07,ias15,sun-earth-asteroid
62,5.4429206858571946e+04,5.8682645857194439e+02,8.7953994691439412e+00,4.3925731606971063e-07,ias15,sun-earth-asteroid
63,5.4438073839091063e+04,5.9569343909106101e+02,8.8669805191182878e+00,4.3925731641668529e-07,ias15,sun-earth-asteroid
64,5.4447030172183855e+04,6.0464977218385320e+02,8.9563330927916578e+00,4.3925731641668529e-07,ias15,sun-earth-asteroid
65,5.4456092369625243e+04,6.1371196962524118e+02,9.0621974413848552e+00,4.3925731699497629e-07,ias15,sun-earth-asteroid
66,5.4465275283967370e+04,6.2289488396736851e+02,9.1829143421269119e+00,4.3925731664800168e-07,ias15,sun-earth-asteroid
67,5.4474591623411397e+04,6.3221122341139562e+02,9.3163394440290794e+00,4.3925731676365990e-07,ias15,sun-earth-asteroid
68,5.4484051371751309e+04,6.4167097175130766e+02,9.4597483399147464e+00,4.3925731664800168e-07,ias15,sun-earth-asteroid
69,5.4493661114536568e+04,6.5128071453656594e+02,9.6097427852601456e+00,4.3925731676365990e-07,ias15,sun-earth-asteroid
70,5.4503075444559203e+04,6.6069504455920105e+02,9.4143300226360953e+00,4.3925731664800168e-07,ias15,sun-earth-asteroid
71,5.4512325154608763e+04,6.6994475460876129e+02,9.2497100495605622e+00,4.3925731618536885e-07,ias15,sun-earth-asteroid
72,5.4521445783585608e+04,6.7906538358560647e+02,9.1206289768467492e+00,4.3925731618536885e-07,ias15,sun-earth-asteroid
73,5.4530472741457896e+04,6.8809234145789378e+02,9.0269578722908737e+00,4.3925731641668529e-07,ias15,sun-earth-asteroid
74,5.4539441221605171e+04,6.9706082160516962e+02,8.9684801472755975e+00,4.3925731641668529e-07,ias15,sun-earth-asteroid
75,5.4548386179863373e+04,7.0600577986337157e+02,8.9449582581999003e+00,4.3925731653234346e-07,ias15,sun-earth-asteroid
76,5.4557342350164421e+04,7.1496195016441925e+02,8.9561703010442066e+00,4.3925731676365990e-07,ias15,sun-earth-asteroid
77,5.4566344275325078e+04,7.2396387532507651e+02,9.0019251606584803e+00,4.3925731664800168e-07,ias15,sun-earth-asteroid
78,5.4572880400000002e+04,7.3050000000000000e+02,6.5361246749234851e+00,4.3925731641668529e-07,ias15,sun-earth-asteroid
