step,t,t_rel,dt,relE,ordering
64,5.4297287538553064e+04,4.5490713855306240e+02,9.8249393660431377e+00,3.8282866739090967e-14,sun-earth-asteroid
65,5.4306959866003643e+04,4.6457946600364085e+02,9.6723274505814469e+00,3.7935892116078057e-14,sun-earth-asteroid
66,5.4316479319651036e+04,4.7409891965103452e+02,9.5194536473956841e+00,3.8167208531419993e-14,sun-earth-asteroid
67,5.4325850788857082e+04,4.8347038885708025e+02,9.3714692060453846e+00,3.7935892116078057e-14,sun-earth-asteroid
68,5.4335083244259105e+04,4.9270284425910359e+02,9.2324554020210989e+00,3.8167208531419993e-14,sun-earth-asteroid
69,5.4344188854261789e+04,5.0180845426178712e+02,9.1056100026830507e+00,3.8398524946761936e-14,sun-earth-asteroid
70,5.4353182250026315e+04,5.1080185002631333e+02,8.9933957645255607e+00,3.8167208531419993e-14,sun-earth-asteroid
71,5.4362079920362004e+04,5.1969952036200266e+02,8.8976703356889502e+00,3.8167208531419993e-14,sun-earth-asteroid
72,5.4370899719227222e+04,5.2851931922721997e+02,8.8197988652144144e+00,3.8398524946761936e-14,sun-earth-asteroid
73,5.4379660467022673e+04,5.3728006702267157e+02,8.7607477954524136e+00,3.8398524946761936e-14,sun-earth-asteroid
74,5.4388381626167131e+04,5.4600122616712906e+02,8.7211591444552798e+00,3.8282866739090967e-14,sun-earth-asteroid
75,5.4397083031886446e+04,5.5470263188644458e+02,8.7014057193170640e+00,3.8282866739090967e-14,sun-earth-asteroid
76,5.4405784660217163e+04,5.6340426021716121e+02,8.7016283307195401e+00,3.8282866739090967e-14,sun-earth-asteroid
77,5.4414506416364849e+04,5.7212601636484760e+02,8.7217561476843706e+00,3.8282866739090967e-14,sun-earth-asteroid
78,5.4423267927383480e+04,5.8088752738347830e+02,8.7615110186296672e+00,3.8398524946761936e-14,sun-earth-asteroid
79,5.4432088323475706e+04,5.8970792347570386e+02,8.8203960922234010e+00,3.8514183154432904e-14,sun-earth-asteroid
80,5.4440985992058784e+04,5.9860559205878235e+02,8.8976685830813977e+00,3.8051550323749025e-14,sun-earth-asteroid
81,5.4449978288327220e+04,6.0759788832721824e+02,8.9922962684339485e+00,3.8282866739090967e-14,sun-earth-asteroid
82,5.4459081185805619e+04,6.1670078580561676e+02,9.1028974783958034e+00,3.8282866739090967e-14,sun-earth-asteroid
83,5.4468308851086767e+04,6.2592845108676556e+02,9.2276652811512108e+00,3.8514183154432904e-14,sun-earth-asteroid
84,5.4477673129761562e+04,6.3529272976156062e+02,9.3642786747947504e+00,3.8398524946761936e-14,sun-earth-asteroid
85,5.4487182937162055e+04,6.4480253716205334e+02,9.5098074004909297e+00,3.8282866739090967e-14,sun-earth-asteroid
86,5.4496724241193740e+04,6.5434384119373863e+02,9.5413040316821931e+00,3.8514183154432904e-14,sun-earth-asteroid
87,5.4506077552155482e+04,6.6369715215548058e+02,9.3533109617390764e+00,3.8282866739090967e-14,sun-earth-asteroid
88,5.4515278376542003e+04,6.7289797654200083e+02,9.2008243865231485e+00,3.8167208531419993e-14,sun-earth-asteroid
89,5.4524362208523009e+04,6.8198180852300720e+02,9.0838319810098458e+00,3.7935892116078057e-14,sun-earth-asteroid
90,5.4533364374803023e+04,6.9098397480302083e+02,9.0021662800152225e+00,3.8398524946761936e-14,sun-earth-asteroid
91,5.4542319973427308e+04,6.9993957342730573e+02,8.9555986242868428e+00,3.8167208531419993e-14,sun-earth-asteroid
92,5.4551263867801565e+04,7.0888346780156280e+02,8.9438943742596688e+00,3.8167208531419993e-14,sun-earth-asteroid
93,5.4560230709324664e+04,7.1785030932466179e+02,8.9668415230994025e+00,3.8514183154432904e-14,sun-earth-asteroid
94,5.4569254969000656e+04,7.2687456900065445e+02,9.0242596759915710e+00,3.8051550323749025e-14,sun-earth-asteroid
95,5.4572880400000002e+04,7.3050000000000000e+02,3.6254309993455536e+00,3.8282866739090967e-14,sun-earth-asteroid
