particle_order,whfast_max_error,fixed_hj_max_error,improvement
B2-B1-A1-A2,0.0007596497443931533,8.460042662239565e-10,897926.6118642206
B1-B2-A1-A2,0.0007596497465289331,8.460042662239565e-10,897926.6143887703
B1-B2-A2-A1,0.0007598169211351319,8.460042662239565e-10,898124.2193097773
B2-B1-A2-A1,0.0007598169214460838,8.460042662239565e-10,898124.2196773309
A1-A2-B2-B1,0.005561550501060907,8.460042662239565e-10,6573903.611484435
A2-A1-B2-B1,0.0055615505072354994,8.460042662239565e-10,6573903.618782971
A1-A2-B1-B2,0.005561741905641871,8.460042662239565e-10,6574129.856893123
A2-A1-B1-B2,0.005561741909788575,8.460042662239565e-10,6574129.86179464
A2-B2-B1-A1,0.005787925784296635,8.460042662239565e-10,6841485.339229294
B2-A2-B1-A1,0.005787925785331447,8.460042662239565e-10,6841485.34045247
B2-A1-B1-A2,0.005789403455528709,8.460042662239565e-10,6843231.986723957
A1-B2-B1-A2,0.005789403457340812,8.460042662239565e-10,6843231.988865912
A2-B2-A1-B1,0.005789434467990675,8.460042662239565e-10,6843268.644295561
B2-A2-A1-B1,0.0057894344688938434,8.460042662239565e-10,6843268.645363131
B2-A1-A2-B1,0.005789886780734652,8.460042662239565e-10,6843803.290232981
A1-B2-A2-B1,0.005789886782057851,8.460042662239565e-10,6843803.291797038
B1-A2-A1-B2,0.005790266210207395,8.460042662239565e-10,6844251.78616603
A2-B1-A1-B2,0.005790266211959108,8.460042662239565e-10,6844251.788236601
A1-B1-A2-B2,0.00579051395469122,8.460042662239565e-10,6844544.626868749
B1-A1-A2-B2,0.005790513958010754,8.460042662239565e-10,6844544.630792528
B1-A1-B2-A2,0.00579070750096907,8.460042662239565e-10,6844773.403821275
A1-B1-B2-A2,0.005790707502585407,8.460042662239565e-10,6844773.405731829
A2-B1-B2-A1,0.005792366721299288,8.460042662239565e-10,6846734.647276492
B1-A2-B2-A1,0.0057923667220915135,8.460042662239565e-10,6846734.648212924
