particle_order,whfast_max_error,fixed_hj_max_error,improvement
B2-B1-A1-A2,0.005172751351937906,8.173703576103307e-09,632852.8192606587
B1-B2-A1-A2,0.005172751352020447,8.173703576103307e-09,632852.8192707571
B2-B1-A2-A1,0.005174905678364019,8.173703576103307e-09,633116.3872266432
B1-B2-A2-A1,0.005174905681843351,8.173703576103307e-09,633116.3876523171
A2-A1-B2-B1,0.014633963630540998,8.173703576103307e-09,1790371.2184186552
A1-A2-B2-B1,0.01463396363274074,8.173703576103307e-09,1790371.2186877795
A1-A2-B1-B2,0.014637065519746468,8.173703576103307e-09,1790750.7145890985
A2-A1-B1-B2,0.014637065520608342,8.173703576103307e-09,1790750.7146945435
B2-A2-B1-A1,0.01610406606374205,8.173703576103307e-09,1970228.7847609255
A2-B2-B1-A1,0.016104066064942052,8.173703576103307e-09,1970228.784907738
B2-A2-A1-B1,0.01610689340606678,8.173703576103307e-09,1970574.691888387
A2-B2-A1-B1,0.016106893408180518,8.173703576103307e-09,1970574.692146989
B2-A1-B1-A2,0.016108009683787127,8.173703576103307e-09,1970711.261279478
A1-B2-B1-A2,0.016108009686422044,8.173703576103307e-09,1970711.261601843
B1-A2-A1-B2,0.016109563150985648,8.173703576103307e-09,1970901.3179880504
A2-B1-A1-B2,0.016109563151595147,8.173703576103307e-09,1970901.3180626186
B1-A1-A2-B2,0.01611287307632864,8.173703576103307e-09,1971306.2660403224
A1-B1-A2-B2,0.016112873081429023,8.173703576103307e-09,1971306.2666643213
A1-B1-B2-A2,0.016113508148021795,8.173703576103307e-09,1971383.9629725933
B1-A1-B2-A2,0.016113508148159154,8.173703576103307e-09,1971383.9629893983
B2-A1-A2-B1,0.016123636292290064,8.173703576103307e-09,1972623.0762061437
A1-B2-A2-B1,0.01612363630143589,8.173703576103307e-09,1972623.0773250768
B1-A2-B2-A1,0.016127328904122138,8.173703576103307e-09,1973074.8434861402
A2-B1-B2-A1,0.01612732890780918,8.173703576103307e-09,1973074.8439372259
