time_inner_periods,e_inner,mutual_inclination_deg,rel_energy_error,a_inner,a_outer,hierarchy_ratio
0.0,0.07999999999999996,19.999999999999993,0.0,0.9999999999999999,10.00000000000001,6.759259259259263
10.000000000000043,0.08547578312362668,20.105194240121108,1.5728789640465268e-05,1.0011309300704325,9.988010000488782,6.730658697045461
20.000000000000096,0.08808874304914355,20.22198176030373,2.8047223393710527e-05,1.001876137468538,9.991213037854536,6.708835654869234
30.049999999999716,0.09084244192164417,20.270336584021052,3.1009545667514355e-05,1.0020632978766166,9.997065160787109,6.687220689808304
40.04999999999932,0.08592198865390344,20.080720414015026,1.6764004995624483e-05,1.0012338838079642,9.987253843706217,6.7272265841302925
50.049999999998924,0.08890359424881007,20.159113845870245,7.934708201507851e-06,1.000578408422292,10.000081246484978,6.706092117769172
60.049999999998526,0.09023204739701253,20.14479673266214,1.3949697722998572e-05,1.0009620674933333,9.990097877467067,6.703787010509835
70.04999999999814,0.08891077231327381,20.15478619626023,2.5006463311620535e-05,1.0017614969041406,9.988443756082523,6.705985949702809
80.04999999999774,0.0886492863513304,20.099572552316637,3.4772496048781246e-05,1.0027267738408263,9.997207535687739,6.689491832128583
90.04999999999734,0.09045276905490462,20.04804974435242,2.0760962955003972e-05,1.0015309282648244,9.987095493689061,6.697771775934845
100.04999999999694,0.09369113057379676,20.2172885225662,1.1937053204591407e-05,1.0007314280454709,9.99486676037773,6.683540165070066
110.04999999999654,0.09586086165664105,20.19080184162075,1.0951188746029906e-05,1.0006119269958211,9.995037545799478,6.671489464568507
120.04999999999615,0.09254982787389886,20.073490032929666,2.1787053832285102e-05,1.0016000869411517,9.987408048874393,6.685518362559322
130.04999999999575,0.09250713367679017,19.946714787055562,3.012639616687193e-05,1.002761531831947,9.993624868878348,6.666619581585466
140.04999999999535,0.09676331158336872,20.012797772118763,2.3383523223338357e-05,1.001822308080783,9.987778461768048,6.65783043458979
