id,family,tree,masses,a_inner,e_inner,a_outer,e_outer,mutual_inc_deg,phases_deg,dt_divisor,reference_period,dt,duration,n_steps,hierarchy_margin,whfast_failure,whfast_max_error,whfast_rms_error,whfast_hj_failure,whfast_hj_max_error,whfast_hj_rms_error,improvement,runtime_seconds
candidate_0337,stable_2plus2,"[[1,2],[3,4]]","[1.0, 0.7, 0.9, 0.6]","[1.0, 0.8]","[0.1, 0.2]",40.0,0.35,145.0,"[73.0, 211.0, 179.0]",20,3.6708718141091055,0.18354359070545528,578.2779778856343,3151,23.636363636363633,,0.004360697134419492,0.0022770537806139843,,7.830256756481935e-07,1.199064483068797e-07,5569.034669022418,0.02087862499999993
candidate_0086,stable_2plus2,"[[1,2],[3,4]]","[1.0, 0.7, 0.9, 0.6]","[1.0, 0.8]","[0.1, 0.2]",40.0,0.35,80.0,"[73.0, 211.0, 179.0]",20,3.6708718141091055,0.18354359070545528,578.2779778856343,3151,23.636363636363633,,0.0043722213082769594,0.0022782353679554096,,7.850975039048878e-07,1.5499578480758732e-07,5569.016952073562,0.020625499999999963
candidate_0390,stable_2plus2,"[[1,2],[3,4]]","[1.0, 1.0, 1.0, 1.0]","[1.0, 0.8]","[0.35, 0.1]",80.0,0.5,0.0,"[0.0, 137.0, 61.0]",10,3.179068245054753,0.3179068245054753,533.145952579004,1678,29.629629629629626,,0.004856944274093827,0.0026696622285464714,,8.724543333020938e-07,4.382312699834589e-07,5566.98968496277,0.011501582999999371
candidate_0581,stable_2plus2,"[[1,2],[3,4]]","[1.3, 0.3, 0.7, 0.7]","[1.0, 0.8]","[0.1, 0.2]",40.0,0.35,0.0,"[0.0, 137.0, 61.0]",10,3.7997133175159234,0.37997133175159237,596.0752959477661,1569,23.636363636363633,,0.01421269188656447,0.0073852505692915795,,2.5699903102203126e-06,1.0290907890574553e-06,5530.251156996031,0.010795207999997558
candidate_0068,stable_2plus2,"[[1,2],[3,4]]","[1.3, 0.3, 0.7, 0.7]","[1.0, 0.55]","[0.35, 0.1]",40.0,0.35,0.0,"[0.0, 137.0, 61.0]",10,2.1660071443169624,0.21660071443169623,596.0752959477661,2752,19.25925925925926,,0.005971375167861663,0.0032738565975713382,,1.0936394988914231e-06,4.6943691668777305e-07,5460.094641712007,0.0183601659999999
candidate_0298,stable_2plus2,"[[1,2],[3,4]]","[1.3, 0.3, 0.7, 0.7]","[1.0, 0.8]","[0.0, 0.0]",40.0,0.35,145.0,"[0.0, 137.0, 61.0]",10,3.7997133175159234,0.37997133175159237,596.0752959477661,1569,26.0,,0.0036067348155839067,0.0022260154858335054,,6.884948535496447e-07,2.0544633864666824e-07,5238.579194875331,0.01094204199999993
candidate_0564,stable_2plus2,"[[1,2],[3,4]]","[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0]","[0.0, 0.0]",80.0,0.5,145.0,"[0.0, 137.0, 61.0]",20,4.442882938158366,0.2221441469079183,533.145952579004,2400,40.0,,0.00026290111802683186,0.00015669402399886808,,5.085908879100699e-08,2.639652819956244e-08,5169.206218128677,0.015679125000001903
candidate_0015,stable_2plus2,"[[1,2],[3,4]]","[1.0, 1.0, 1.0, 1.0]","[1.0, 0.55]","[0.35, 0.1]",40.0,0.35,35.0,"[73.0, 211.0, 179.0]",10,1.8122115948372268,0.1812211594837227,533.145952579004,2942,19.25925925925926,,0.005896812040117483,0.0032331597162061233,,1.1411933176585166e-06,2.5342371654336897e-07,5167.233236360404,0.019450791000000023
candidate_0002,stable_2plus2,"[[1,2],[3,4]]","[1.3, 0.3, 0.7, 0.7]","[1.0, 1.0]","[0.35, 0.1]",80.0,0.5,35.0,"[0.0, 137.0, 61.0]",20,4.967294132898051,0.24836470664490254,637.2312954732635,2566,29.629629629629626,,0.0017942027843154734,0.0009745418941413671,,3.543440864308564e-07,1.675691608284504e-07,5063.447798403088,0.01720870799999996
candidate_0360,stable_2plus2,"[[1,2],[3,4]]","[1.0, 0.2, 0.8, 0.15]","[1.0, 0.8]","[0.1, 0.2]",40.0,0.35,35.0,"[73.0, 211.0, 179.0]",40,4.612677018532275,0.11531692546330688,688.2884651454572,5969,23.636363636363633,,0.0010291894741181968,0.0005303706520069902,,2.0351571446080734e-07,4.680901567339811e-08,5057.051622990991,0.039277499999998966
