particle_order,whfast_max_error,fixed_hj_max_error,improvement
B2-B1-A1-A2,0.003093653323959519,7.252884115687942e-09,426541.1213820398
B1-B2-A1-A2,0.0030936533244446105,7.252884115687942e-09,426541.1214489224
B2-B1-A2-A1,0.003094963103973961,7.252884115687942e-09,426721.7088550437
B1-B2-A2-A1,0.003094963104329922,7.252884115687942e-09,426721.70890412224
A1-A2-B2-B1,0.018387210525320854,7.252884115687942e-09,2535158.4600048186
A2-A1-B2-B1,0.018387210526108026,7.252884115687942e-09,2535158.4601133512
A1-A2-B1-B2,0.0183884817934622,7.252884115687942e-09,2535333.737607641
A2-A1-B1-B2,0.018388481795961822,7.252884115687942e-09,2535333.7379522794
A1-B2-B1-A2,0.01928259800938004,7.252884115687942e-09,2658611.0713766823
B2-A1-B1-A2,0.019282598011777476,7.252884115687942e-09,2658611.0717072315
A2-B2-B1-A1,0.01928323741334528,7.252884115687942e-09,2658699.229956778
B2-A2-B1-A1,0.019283237415222785,7.252884115687942e-09,2658699.2302156417
B2-A2-A1-B1,0.019283681830122173,7.252884115687942e-09,2658760.5044470094
A2-B2-A1-B1,0.019283681831781363,7.252884115687942e-09,2658760.504675772
A1-B2-A2-B1,0.01928442703172593,7.252884115687942e-09,2658863.250002001
B2-A1-A2-B1,0.019284427032476563,7.252884115687942e-09,2658863.2501054956
A2-B1-A1-B2,0.019289178655204645,7.252884115687942e-09,2659518.3857249664
B1-A2-A1-B2,0.019289178659692634,7.252884115687942e-09,2659518.386343753
A1-B1-A2-B2,0.0192902361619666,7.252884115687942e-09,2659664.1907240655
B1-A1-A2-B2,0.019290236164280113,7.252884115687942e-09,2659664.191043044
A2-B1-B2-A1,0.01929419303200037,7.252884115687942e-09,2660209.7488731625
B1-A2-B2-A1,0.019294193033452395,7.252884115687942e-09,2660209.7490733624
B1-A1-B2-A2,0.01929466160036179,7.252884115687942e-09,2660274.353291756
A1-B1-B2-A2,0.0192946616020473,7.252884115687942e-09,2660274.3535241475
