method,time,time_over_reference_period,rel_energy_error
whfast,0.0,0.0,2.220446049250313e-16
whfast,0.36244231896744544,0.20000000000000004,0.010070277534144372
whfast,0.7248846379348907,0.39999999999999997,0.01615209716768224
whfast,1.0873269569023358,0.5999999999999999,0.0008656207488481466
whfast,1.4497692758697818,0.8000000000000002,0.0009524220254246826
whfast,1.8122115948372277,1.0000000000000004,2.9541688270764872e-05
whfast,2.1746539138046734,1.2000000000000006,0.009781741212649074
whfast,2.5370962327721194,1.400000000000001,0.01642106039034674
whfast,2.8995385517395653,1.6000000000000014,0.000917411302749817
whfast,3.2619808707070113,1.8000000000000016,0.0009552234303004206
whfast,3.624423189674457,2.0000000000000018,6.828182114123592e-05
whfast,3.986865508641903,2.2000000000000024,0.009487186557254489
whfast,4.349307827609349,2.400000000000002,0.01667044372601741
whfast,4.711750146576795,2.6000000000000028,0.0009617195822344899
whfast,5.0741924655442405,2.800000000000003,0.000967086933148706
whfast,5.4366347845116865,3.000000000000003,0.0001159608494850551
whfast,5.799077103479132,3.2000000000000037,0.009185022193800652
whfast,6.161519422446578,3.400000000000004,0.016902034682048206
whfast,6.523961741414024,3.600000000000004,0.0010005258666399453
whfast,6.88640406038147,3.8000000000000047,0.000986581358732231
whfast,7.248846379348916,4.000000000000005,0.00017139319936363253
whfast,7.611288698316362,4.2000000000000055,0.008875028158967516
whfast,7.973731017283808,4.400000000000006,0.01711753094612217
whfast,8.336173336251248,4.600000000000002,0.0010366452589578958
whfast,8.698615655218687,4.799999999999999,0.0010114220776862215
whfast,9.061057974186125,4.999999999999996,0.00023246551419850778
whfast,9.423500293153564,5.199999999999991,0.008558515745946061
whfast,9.785942612121003,5.399999999999988,0.01731829740097736
whfast,10.148384931088442,5.5999999999999845,0.0010735802005160057
whfast,10.51082725005588,5.799999999999981,0.0010385582478772135
whfast,10.87326956902332,5.999999999999977,0.0002962112526342781
whfast,11.235711887990758,6.1999999999999735,0.008238381164075149
