FF0	tau	c	IIxx	IIxy	IIyy	nu_coll
0.001	0.004022738557472502	2.1245959421256924	-3.738862058251161	-0.011408597597881863	2.451501639079014	0.0036649666951325474
0.025	0.10462838348880808	2.1176790725643495	-3.677480462408705	-0.2986519106241994	2.431235841967392	0.1042965087524298
0.05	0.21148098488624914	2.0424023882526767	-3.3289027466320626	-0.552602999122344	2.209916650858494	0.22687357467565789
0.075	0.3146027024004444	1.930796350603784	-2.8567704804376737	-0.7101217419338307	1.8975075949790967	0.35491497442292963
0.1	0.4136599769070149	1.8133143464539345	-2.3963341807842737	-0.7885383400206707	1.5884862637048565	0.4834449715226467
0.125	0.5104132232002752	1.702633134669912	-1.9932720521120804	-0.8168212018352982	1.3158886075227205	0.6131947262900794
0.15	0.6068659358159462	1.6022347283172254	-1.6526044732970222	-0.8151644235294215	1.0842106912963552	0.7467366232163235
0.175	0.7049510315352433	1.5125429744056833	-1.3681981180172769	-0.7958083035125861	0.8898476165590206	0.8869853557487998
0.2	0.806544375248054	1.433166695491742	-1.132208576932605	-0.7662231657453874	0.7277576872280862	1.0367046432566347
0.225	0.9134393198612415	1.3634565989453038	-0.9373175992424186	-0.7310872542107373	0.5931426060643812	1.1985166179237152
0.25	1.0273961090009707	1.302726511831924	-0.7770909425315907	-0.6934999315709168	0.4817556546684683	1.3750413170279798
0.275	1.15010357843188	1.2501976856862882	-0.645852458634219	-0.6554803443031463	0.3898280026053678	1.5690442210517674
0.3	1.2832232578205407	1.2050331202237448	-0.5386225920964396	-0.6183103257382382	0.31404853726265347	1.7836624979072493
0.325	1.4284558908040006	1.1663655577847918	-0.45108457292755794	-0.582748092985816	0.2515493767349756	2.0226902979596924
0.35	1.587636358882744	1.1333403542179261	-0.37956787432495354	-0.5491879543378009	0.1998887447091432	2.2908386886180576
0.375	1.7629051945199257	1.1051545950732238	-0.32101594837259523	-0.5177803593065088	0.15703244106029837	2.5942906239819834
0.4	1.9568157022457697	1.081086487695009	-0.2729356792662108	-0.4885271576084566	0.12131938006547696	2.94110739443643
0.425	2.172533625535934	1.0605135925663687	-0.23333296350618904	-0.46135702031578696	0.09142153320359121	3.34189157622441
0.45	2.413988957644255	1.0429154658518278	-0.200636686081723	-0.43617641172350385	0.06629431624293196	3.8104748725829847
0.475	2.6859998012835886	1.0278702189521953	-0.17362238368044258	-0.41290415341092024	0.04512699124175638	4.3647292925032515
0.5	2.994377435187033	1.0150351193853755	-0.1513293441264197	-0.39149076157685636	0.02729024427641623	5.027440592653166
